author_id_1,author_id_2,same_author
https://openalex.org/A5000000155,https://openalex.org/A5000002071,1
https://openalex.org/A5000000155,https://openalex.org/A5000005965,1
https://openalex.org/A5000000155,https://openalex.org/A5000019078,1
https://openalex.org/A5000000155,https://openalex.org/A5000027341,1
https://openalex.org/A5000000861,https://openalex.org/A5000002396,1
https://openalex.org/A5000001312,https://openalex.org/A5000005202,1
https://openalex.org/A5000001636,https://openalex.org/A5000026742,1
https://openalex.org/A5000001789,https://openalex.org/A5000015914,1
https://openalex.org/A5000001789,https://openalex.org/A5000020618,1
https://openalex.org/A5000002071,https://openalex.org/A5000005965,1
https://openalex.org/A5000002071,https://openalex.org/A5000019078,1
https://openalex.org/A5000002071,https://openalex.org/A5000027341,1
https://openalex.org/A5000002485,https://openalex.org/A5000004050,1
https://openalex.org/A5000004267,https://openalex.org/A5000009042,1
https://openalex.org/A5000004992,https://openalex.org/A5000005965,1
https://openalex.org/A5000004992,https://openalex.org/A5000019078,1
https://openalex.org/A5000004992,https://openalex.org/A5000027341,1
https://openalex.org/A5000005456,https://openalex.org/A5000014182,1
https://openalex.org/A5000005599,https://openalex.org/A5000008737,1
https://openalex.org/A5000005685,https://openalex.org/A5000006779,1
https://openalex.org/A5000005763,https://openalex.org/A5000023869,1
https://openalex.org/A5000005965,https://openalex.org/A5000019078,1
https://openalex.org/A5000005965,https://openalex.org/A5000027341,1
https://openalex.org/A5000007285,https://openalex.org/A5000026796,1
https://openalex.org/A5000007716,https://openalex.org/A5000017573,1
https://openalex.org/A5000008992,https://openalex.org/A5000025502,1
https://openalex.org/A5000009355,https://openalex.org/A5000024142,1
https://openalex.org/A5000009355,https://openalex.org/A5000024533,1
https://openalex.org/A5000010200,https://openalex.org/A5000019546,1
https://openalex.org/A5000010696,https://openalex.org/A5000017624,1
https://openalex.org/A5000011394,https://openalex.org/A5000016004,1
https://openalex.org/A5000012839,https://openalex.org/A5000023099,1
https://openalex.org/A5000015311,https://openalex.org/A5000017772,1
https://openalex.org/A5000016867,https://openalex.org/A5000026532,1
https://openalex.org/A5000017624,https://openalex.org/A5000023532,1
https://openalex.org/A5000019078,https://openalex.org/A5000027341,1
https://openalex.org/A5000024142,https://openalex.org/A5000024533,1
https://openalex.org/A5000005996,https://openalex.org/A5000009016,0
https://openalex.org/A5000022050,https://openalex.org/A5000017329,0
https://openalex.org/A5000009023,https://openalex.org/A5000012071,0
https://openalex.org/A5000025767,https://openalex.org/A5000015511,0
https://openalex.org/A5000020024,https://openalex.org/A5000019033,0
https://openalex.org/A5000007885,https://openalex.org/A5000018519,0
https://openalex.org/A5000007180,https://openalex.org/A5000022550,0
https://openalex.org/A5000006194,https://openalex.org/A5000000320,0
https://openalex.org/A5000018901,https://openalex.org/A5000008579,0
https://openalex.org/A5000013516,https://openalex.org/A5000016107,0
https://openalex.org/A5000024660,https://openalex.org/A5000008082,0
https://openalex.org/A5000001198,https://openalex.org/A5000013314,0
https://openalex.org/A5000001174,https://openalex.org/A5000003667,0
https://openalex.org/A5000000586,https://openalex.org/A5000010047,0
https://openalex.org/A5000005996,https://openalex.org/A5000006463,0
https://openalex.org/A5000013131,https://openalex.org/A5000005214,0
https://openalex.org/A5000007998,https://openalex.org/A5000013105,0
https://openalex.org/A5000025005,https://openalex.org/A5000018684,0
https://openalex.org/A5000019296,https://openalex.org/A5000025483,0
https://openalex.org/A5000006407,https://openalex.org/A5000004267,0
https://openalex.org/A5000023043,https://openalex.org/A5000001322,0
https://openalex.org/A5000025339,https://openalex.org/A5000026546,0
https://openalex.org/A5000023532,https://openalex.org/A5000018800,0
https://openalex.org/A5000012041,https://openalex.org/A5000001837,0
https://openalex.org/A5000009011,https://openalex.org/A5000026097,0
https://openalex.org/A5000005965,https://openalex.org/A5000015712,0
https://openalex.org/A5000014336,https://openalex.org/A5000007011,0
https://openalex.org/A5000012839,https://openalex.org/A5000021376,0
https://openalex.org/A5000005644,https://openalex.org/A5000000420,0
https://openalex.org/A5000011170,https://openalex.org/A5000025360,0
https://openalex.org/A5000002000,https://openalex.org/A5000013618,0
https://openalex.org/A5000018347,https://openalex.org/A5000013025,0
https://openalex.org/A5000012155,https://openalex.org/A5000013936,0
https://openalex.org/A5000005761,https://openalex.org/A5000021330,0
https://openalex.org/A5000007010,https://openalex.org/A5000024018,0
https://openalex.org/A5000012155,https://openalex.org/A5000026479,0
https://openalex.org/A5000004709,https://openalex.org/A5000024467,0
